ASMID,SPECIESIN,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_040803975.1_ASM4080397v1,Gyromitra sphaerospora,WB0618,PRJNA994929,661103,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra sphaerospora,FA27BB3E
GCA_040803105.1_ASM4080310v1,Gyromitra spinosospora,LUG,PRJNA994929,2803007,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra spinosospora,F6993BE6
GCA_040803985.1_ASM4080398v1,Gyromitra splendida,MICH352089,PRJNA994929,991127,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra splendida,FBA535DF
GCA_040804095.1_ASM4080409v1,Gyromitra venenata,MICH352032,PRJNA994929,2857109,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra venenata,F4DD30CC
GCA_040803645.1_ASM4080364v1,Gyromitra warnei,MICH352073,PRJNA994929,2950980,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Gyromitra,Gyromitra warnei,F2204574
GCA_040802925.1_ASM4080292v1,Hydnotrya bailii,ACD0616,PRJNA994929,652975,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya bailii,F181AEBB
GCA_040803765.1_ASM4080376v1,Hydnotrya cerebriformis,MICH67763,PRJNA994929,44617,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya cerebriformis,F5F7EB6D
GCA_040803825.1_ASM4080382v1,Hydnotrya cubispora,FLAS-F-62913,PRJNA994929,351239,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya cubispora,FABA704D
GCA_040803395.1_ASM4080339v1,Hydnotrya sp. 1 AD-2023,FLAS-F-59196,PRJNA994929,3063977,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya sp. 1 AD-2023,F4B1916C
GCA_040803405.1_ASM4080340v1,Hydnotrya sp. 2 AD-2023,FLAS-F-59198,PRJNA994929,3063978,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya sp. 2 AD-2023,F177999E
GCA_040803145.1_ASM4080314v1,Hydnotrya sp. 3 AD-2023,FLAS-F-68653,PRJNA994929,3063979,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya sp. 3 AD-2023,F4195DFA
GCA_040802865.1_ASM4080286v1,Hydnotrya tulasnei,ACD0626,PRJNA994929,47195,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya tulasnei,FA317975
GCA_040803455.1_ASM4080345v1,Hydnotrya variiformis,FLAS-F-60223,PRJNA994929,283312,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Discinaceae,Hydnotrya,Hydnotrya variiformis,F90A2CAB
GCA_015179045.1_Kalpfe1,Kalaharituber pfeilii,F3,PRJNA334362,139406,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pezizaceae,Kalaharituber,Kalaharituber pfeilii,F4F49AF5
GCA_040802305.1_ASM4080230v1,Marcelleina donadinii,RM2391-2016,PRJNA994929,3120040,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Pezizaceae,Marcelleina,Marcelleina donadinii,FF2CB73C
GCA_008079325.1_ASM807932v1,Morchella conica,SH,PRJNA559443,5194,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella conica,F5A5DA09
GCA_009192285.1_ASM919228v1,Morchella crassipes,M10,PRJNA575610,62754,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella semilibera,F634EC16
GCF_003444635.1_ASM344463v2,Morchella importuna,M04M26,PRJNA478366,1174673,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella importuna,FAA39425
GCA_024713595.1_ASM2471359v1,Morchella rufobrunnea,2019-VR,PRJNA635772,368404,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella rufobrunnea,FFD00E29
GCA_024713935.1_ASM2471393v1,Morchella septimelata,2015-9hao,PRJNA635772,1174676,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella septimelata,F74AB1E7
GCF_020137385.1_ASM2013738v1,Morchella sextelata,SCLS,PRJNA655985,1174677,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sextelata,F5EF78DF
GCA_024521645.1_Morsny1,Morchella snyderi,CBS 144464,PRJNA463279,1174678,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella snyderi,FCE8FAD2
GCA_024713685.1_ASM2471368v1,Morchella sp. 2014-9hei,2014-9hei,PRJNA635772,2944688,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2014-9hei,FACB71B8
GCA_024713845.1_ASM2471384v1,Morchella sp. 2015-Win8,2015-Win8,PRJNA635772,2944694,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2015-Win8,F7EA0C5B
GCA_024713795.1_ASM2471379v1,Morchella sp. 2015-shanyang,2015-shanyang,PRJNA635772,2944693,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2015-shanyang,F687B123
GCA_024713925.1_ASM2471392v1,Morchella sp. 2016-103,2016-103,PRJNA635772,2944697,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-103,FDED7A5D
GCA_024713855.1_ASM2471385v1,Morchella sp. 2016-41,2016-41,PRJNA635772,2944695,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-41,FDD990C6
GCA_024713775.1_ASM2471377v1,Morchella sp. 2016-50,2016-50,PRJNA635772,2944692,dikarya,Ascomycota,Pezizomycotina,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-50,F8913182
